Site_Number,Sampling_Area,Notes,Cover_Type,Cover_Class_Name,Cover_Percent
1010,ALMO: Almont Triangle South,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted NPV by 10% after reviewing photo",Other Cover Types,Nonvegetated Dirt ,40
1010,ALMO: Almont Triangle South,"low-NDVI outlier, likely due to low cover just outside of plot. Reduced PV cover by 10% and boosted NPV by 10% after reviewing photo",Other Cover Types,Non-Photosynthetic Vegetation,10
1011,ALMO: Almont Triangle South,"Test plot, no bulk sample",Live Vegetation - Named Species,Asteraceae-Chrysothamnus depressus,10
1011,ALMO: Almont Triangle South,"Test plot, no bulk sample",Live Vegetation - Named Species,Asteraceae-Balsamorhiza sagittata,10
1011,ALMO: Almont Triangle South,"Test plot, no bulk sample",Live Vegetation - Other Species,Other Forb ,5
1011,ALMO: Almont Triangle South,"Test plot, no bulk sample",Other Cover Types,Nonvegetated Dirt ,55
1011,ALMO: Almont Triangle South,"Test plot, no bulk sample",Other Cover Types,Nonvegetated Rock,20
1012,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Wyethia amplexicaulis,55
1012,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,10
1012,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,5
1012,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1012,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,15
1012,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1013,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Polygonaceae-Eriogonum umbellatum,20
1013,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,15
1013,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,15
1013,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Graminoid ,5
1013,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,15
1013,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,30
1014,ALMO: Almont Triangle South,We know the. Unknown but didnt have dropdown.  Balsamorrhiza sagittata,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,20
1014,ALMO: Almont Triangle South,We know the. Unknown but didnt have dropdown.  Balsamorrhiza sagittata,Live Vegetation - Named Species,Asteraceae-Balsamorhiza sagittata,10
1014,ALMO: Almont Triangle South,We know the. Unknown but didnt have dropdown.  Balsamorrhiza sagittata,Live Vegetation - Other Species,Other Forb ,15
1014,ALMO: Almont Triangle South,We know the. Unknown but didnt have dropdown.  Balsamorrhiza sagittata,Other Cover Types,Nonvegetated Dirt ,50
1014,ALMO: Almont Triangle South,We know the. Unknown but didnt have dropdown.  Balsamorrhiza sagittata,Other Cover Types,Non-Photosynthetic Vegetation,5
1015,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Fabaceae-Lupinus argenteus,65
1015,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,5
1015,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Graminoid ,5
1015,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,10
1015,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1016,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Rosaceae-Amelanchier alnifolia,10
1016,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Tetradymia canescens,20
1016,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus depressus,10
1016,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,10
1016,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,35
1016,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1017,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,20
1017,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Tetradymia canescens,10
1017,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Graminoid ,5
1017,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,40
1017,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,25
1018,ALMO: Almont Triangle South,"Initially summed to 95%, boosted photosynthetic cover by 5% after reviewing photo.",Live Vegetation - Named Species,Polemoniaceae-Phlox multiflora,30
1018,ALMO: Almont Triangle South,"Initially summed to 95%, boosted photosynthetic cover by 5% after reviewing photo.",Live Vegetation - Other Species,Other Forb ,5
1018,ALMO: Almont Triangle South,"Initially summed to 95%, boosted photosynthetic cover by 5% after reviewing photo.",Live Vegetation - Other Species,Other Graminoid ,5
1018,ALMO: Almont Triangle South,"Initially summed to 95%, boosted photosynthetic cover by 5% after reviewing photo.",Live Vegetation - Other Species,Other Moss/Lichen,5
1018,ALMO: Almont Triangle South,"Initially summed to 95%, boosted photosynthetic cover by 5% after reviewing photo.",Other Cover Types,Nonvegetated Dirt ,15
1018,ALMO: Almont Triangle South,"Initially summed to 95%, boosted photosynthetic cover by 5% after reviewing photo.",Other Cover Types,Non-Photosynthetic Vegetation,40
1019,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,35
1019,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,5
1019,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,15
1019,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,45
1020,ALMO: Almont Triangle South,"low-NDVI outlier, adjusted known species down by 10% and boosted dirt by 10% after reviewing photo.",Live Vegetation - Named Species,Polemoniaceae-Phlox multiflora,10
1020,ALMO: Almont Triangle South,"low-NDVI outlier, adjusted known species down by 10% and boosted dirt by 10% after reviewing photo.",Live Vegetation - Named Species,Asteraceae-Chrysothamnus depressus,15
1020,ALMO: Almont Triangle South,"low-NDVI outlier, adjusted known species down by 10% and boosted dirt by 10% after reviewing photo.",Live Vegetation - Other Species,Other Forb ,5
1020,ALMO: Almont Triangle South,"low-NDVI outlier, adjusted known species down by 10% and boosted dirt by 10% after reviewing photo.",Other Cover Types,Nonvegetated Dirt ,50
1020,ALMO: Almont Triangle South,"low-NDVI outlier, adjusted known species down by 10% and boosted dirt by 10% after reviewing photo.",Other Cover Types,Nonvegetated Rock,15
1020,ALMO: Almont Triangle South,"low-NDVI outlier, adjusted known species down by 10% and boosted dirt by 10% after reviewing photo.",Other Cover Types,Non-Photosynthetic Vegetation,5
1021,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus depressus,10
1021,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Polemoniaceae-Phlox multiflora,10
1021,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,10
1021,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Graminoid ,5
1021,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,55
1021,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Rock,5
1021,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1022,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,65
1022,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1022,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Graminoid ,5
1022,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,10
1022,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1023,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Wyethia amplexicaulis,15
1023,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,15
1023,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,15
1023,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Graminoid ,10
1023,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,20
1023,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,25
1024,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,15
1024,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Wyethia amplexicaulis,20
1024,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,5
1024,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1024,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Graminoid ,5
1024,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,30
1024,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1025,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Caprifoliaceae-Symphoricarpos rotundifolius,70
1025,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,5
1025,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Graminoid ,5
1025,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,15
1025,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1026,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Wyethia amplexicaulis,15
1026,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Caprifoliaceae-Symphoricarpos rotundifolius,10
1026,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,10
1026,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,10
1026,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,10
1026,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,30
1026,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1027,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Polemoniaceae-Phlox multiflora,20
1027,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,20
1027,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Graminoid ,5
1027,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,5
1027,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Rock,5
1027,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,45
1028,ALMO: Almont Triangle South,Voucher ID: 9017,Live Vegetation - Named Species,Poaceae-Festuca thurberi,10
1028,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,20
1028,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,70
1029,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Caprifoliaceae-Symphoricarpos rotundifolius,55
1029,ALMO: Almont Triangle South,Voucher ID: 9017,Live Vegetation - Named Species,Poaceae-Festuca thurberi,15
1029,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,15
1029,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,5
1029,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1030,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Balsamorhiza sagittata,20
1030,ALMO: Almont Triangle South,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus depressus,35
1030,ALMO: Almont Triangle South,NA,Live Vegetation - Other Species,Other Forb ,5
1030,ALMO: Almont Triangle South,NA,Other Cover Types,Nonvegetated Dirt ,35
1030,ALMO: Almont Triangle South,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1031,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Polemoniaceae-Phlox multiflora,15
1031,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Ericaceae-Arctostaphylos uva-ursi,35
1031,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Caprifoliaceae-Symphoricarpos rotundifolius,10
1031,ALMO: Almont Triangle North,Voucher ID: 9034,Live Vegetation - Named Species,Poaceae-Achnatherium hymenoides,10
1031,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Forb ,10
1031,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,5
1031,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1032,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,15
1032,ALMO: Almont Triangle North,Voucher ID: 9034,Live Vegetation - Named Species,Poaceae-Achnatherium hymenoides,10
1032,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Forb ,15
1032,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,60
1033,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,15
1033,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Artemisia frigida,10
1033,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Forb ,5
1033,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,65
1033,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1034,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Ericaceae-Arctostaphylos uva-ursi,65
1034,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,15
1034,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Forb ,5
1034,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,10
1034,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1035,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,35
1035,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Forb ,10
1035,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Graminoid ,5
1035,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,5
1035,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,45
1036,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,20
1036,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Forb ,35
1036,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Graminoid ,5
1036,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,5
1036,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,35
1037,ALMO: Almont Triangle North,"cover initially missing for Erigeron speciousus, filled with 30% from diff between veg cover and species/FT cover.",Live Vegetation - Named Species,Fabaceae-Lathyrus lanszwertii,10
1037,ALMO: Almont Triangle North,"cover initially missing for Erigeron speciousus, filled with 30% from diff between veg cover and species/FT cover.",Live Vegetation - Named Species,Polemoniaceae-Phlox multiflora,10
1037,ALMO: Almont Triangle North,"cover initially missing for Erigeron speciousus, filled with 30% from diff between veg cover and species/FT cover.",Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,30
1037,ALMO: Almont Triangle North,"cover initially missing for Erigeron speciousus, filled with 30% from diff between veg cover and species/FT cover.",Live Vegetation - Other Species,Other Graminoid ,20
1037,ALMO: Almont Triangle North,"cover initially missing for Erigeron speciousus, filled with 30% from diff between veg cover and species/FT cover.",Other Cover Types,Nonvegetated Dirt ,10
1037,ALMO: Almont Triangle North,"cover initially missing for Erigeron speciousus, filled with 30% from diff between veg cover and species/FT cover.",Other Cover Types,Non-Photosynthetic Vegetation,20
1038,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,20
1038,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,10
1038,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Fabaceae-Lathyrus lanszwertii,10
1038,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Erigeron speciosus,10
1038,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Graminoid ,10
1038,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,25
1038,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,15
1039,ALMO: Almont Triangle North,"Species/FT cover initially less than PV cover, added  5% other forb cover after reviewing plot photo.",Live Vegetation - Named Species,Poaceae-Festuca thurberi,20
1039,ALMO: Almont Triangle North,"Species/FT cover initially less than PV cover, added  5% other forb cover after reviewing plot photo.",Live Vegetation - Named Species,Polemoniaceae-Phlox multiflora,20
1039,ALMO: Almont Triangle North,"Species/FT cover initially less than PV cover, added  5% other forb cover after reviewing plot photo.",Live Vegetation - Other Species,Other Forb ,25
1039,ALMO: Almont Triangle North,"Species/FT cover initially less than PV cover, added  5% other forb cover after reviewing plot photo.",Other Cover Types,Nonvegetated Dirt ,15
1039,ALMO: Almont Triangle North,"Species/FT cover initially less than PV cover, added  5% other forb cover after reviewing plot photo.",Other Cover Types,Non-Photosynthetic Vegetation,20
1040,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Rosaceae-Purshia tridentata,50
1040,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Graminoid ,5
1040,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,45
1041,ALMO: Almont Triangle North,"Species/FT cover initially summed to 95%, boosted other gram  by 5% after reviewing photo.",Live Vegetation - Named Species,Caprifoliaceae-Symphoricarpos rotundifolius,10
1041,ALMO: Almont Triangle North,"Species/FT cover initially summed to 95%, boosted other gram  by 5% after reviewing photo.",Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,15
1041,ALMO: Almont Triangle North,"Species/FT cover initially summed to 95%, boosted other gram  by 5% after reviewing photo.",Live Vegetation - Other Species,Other Graminoid ,10
1041,ALMO: Almont Triangle North,"Species/FT cover initially summed to 95%, boosted other gram  by 5% after reviewing photo.",Other Cover Types,Nonvegetated Dirt ,55
1041,ALMO: Almont Triangle North,"Species/FT cover initially summed to 95%, boosted other gram  by 5% after reviewing photo.",Other Cover Types,Non-Photosynthetic Vegetation,10
1042,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,20
1042,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Caprifoliaceae-Symphoricarpos rotundifolius,10
1042,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Forb ,5
1042,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Graminoid ,5
1042,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,50
1042,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1043,ALMO: Almont Triangle North,"Species/FT cover initially summed to more than PV cover, reduced known species by 5% after reviewing photo.",Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,80
1043,ALMO: Almont Triangle North,"Species/FT cover initially summed to more than PV cover, reduced known species by 5% after reviewing photo.",Live Vegetation - Other Species,Other Graminoid ,5
1043,ALMO: Almont Triangle North,"Species/FT cover initially summed to more than PV cover, reduced known species by 5% after reviewing photo.",Other Cover Types,Non-Photosynthetic Vegetation,15
1044,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Berberidaceae-Mahonia repens,10
1044,ALMO: Almont Triangle North,Voucher ID: 9034,Live Vegetation - Named Species,Poaceae-Achnatherium hymenoides,10
1044,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Forb ,10
1044,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,55
1044,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Rock,5
1044,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1045,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,10
1045,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Caprifoliaceae-Symphoricarpos rotundifolius,15
1045,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Berberidaceae-Mahonia repens,10
1045,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Graminoid ,5
1045,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,50
1045,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1046,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,15
1046,ALMO: Almont Triangle North,Voucher ID: 9034,Live Vegetation - Named Species,Poaceae-Achnatherium hymenoides,10
1046,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Forb ,5
1046,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1046,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,55
1046,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Rock,5
1046,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,5
1047,ALMO: Almont Triangle North,"low-NDVI outlier, likely because of low veg cover just outside of plot. Reduced PV cover by 10% and boosted dirt and NPV by 5%",Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,10
1047,ALMO: Almont Triangle North,"low-NDVI outlier, likely because of low veg cover just outside of plot. Reduced PV cover by 10% and boosted dirt and NPV by 5%",Live Vegetation - Named Species,Asteraceae-Artemisia tridentata,15
1047,ALMO: Almont Triangle North,"low-NDVI outlier, likely because of low veg cover just outside of plot. Reduced PV cover by 10% and boosted dirt and NPV by 5%",Live Vegetation - Named Species,Rosaceae-Purshia tridentata,30
1047,ALMO: Almont Triangle North,"low-NDVI outlier, likely because of low veg cover just outside of plot. Reduced PV cover by 10% and boosted dirt and NPV by 5%",Live Vegetation - Other Species,Other Forb ,5
1047,ALMO: Almont Triangle North,"low-NDVI outlier, likely because of low veg cover just outside of plot. Reduced PV cover by 10% and boosted dirt and NPV by 5%",Live Vegetation - Other Species,Other Graminoid ,5
1047,ALMO: Almont Triangle North,"low-NDVI outlier, likely because of low veg cover just outside of plot. Reduced PV cover by 10% and boosted dirt and NPV by 5%",Other Cover Types,Nonvegetated Dirt ,20
1047,ALMO: Almont Triangle North,"low-NDVI outlier, likely because of low veg cover just outside of plot. Reduced PV cover by 10% and boosted dirt and NPV by 5%",Other Cover Types,Non-Photosynthetic Vegetation,15
1048,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Asteraceae-Chrysothamnus viscidiflorus,30
1048,ALMO: Almont Triangle North,Voucher ID: 9034,Live Vegetation - Named Species,Poaceae-Achnatherium hymenoides,15
1048,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Forb ,5
1048,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Deciduous Shrub ,5
1048,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,25
1048,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,20
1049,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Poaceae-Bromopsis inermis,20
1049,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Rubiaceae-Galium boreale,10
1049,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,5
1049,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,65
1050,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Ericaceae-Arctostaphylos uva-ursi,25
1050,ALMO: Almont Triangle North,NA,Live Vegetation - Named Species,Polemoniaceae-Phlox multiflora,15
1050,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Forb ,35
1050,ALMO: Almont Triangle North,NA,Live Vegetation - Other Species,Other Graminoid ,5
1050,ALMO: Almont Triangle North,NA,Other Cover Types,Nonvegetated Dirt ,10
1050,ALMO: Almont Triangle North,NA,Other Cover Types,Non-Photosynthetic Vegetation,10
1051,ALMO: Spring Creek,"Species/FT cover less than PV cover, boosted other forb by 5% after reviewing plot photo.",Live Vegetation - Named Species,Rosaceae-Purshia tridentata,15
