Location_Type,Sampling_Area,Site_Number,Collection_Date,Collection_Time,Vegetation_Species,Cones_Present,Stem_Height,Stem_DBH,Crown_Class,Health_Status,Damage_Mode,Trunk_Wound,Crown_Remaining,Leaves_Remaining,Terrain_Aspect,Photo_Tag,Photo_Tree,Tree_Notes
forest,CRBU: South Baldy (SB),1921,7/23/2025,11:22:00,Pinaceae-Abies lasiocarpa,No,17,44.1,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,215,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_3303513686884d4927ee34.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_17420686626884d4932d59b.jpeg,"2 large dead trees at base, possible former split"
forest,CRBU: South Baldy (SB),1920,7/23/2025,10:53:00,Pinaceae-Picea engelmannii,Yes,12.6,45.4,C: Codominant,S: standing,NA,0 = no visible trunk wound,100,100,170,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_14641429096884d48e8845d.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_17948197336884d48f58f49.jpeg,NA
forest,CRBU: South Baldy (SB),1919,7/23/2025,10:47:00,Pinaceae-Abies lasiocarpa,No,19.4,43.6,C: Codominant,S: standing,NA,2 = medium wound greater than dbh x dbh in area but less than 50% of the living length or penetratin,95,95,70,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_13421427856884d48aeb07f.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_16794159786884d48b83379.jpeg,NA
forest,CRBU: South Baldy (SB),1918,7/23/2025,10:26:00,Pinaceae-Picea engelmannii,Yes,12.7,66,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,240,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_14121473086884d483b0029.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_5833025026884d48464f2b.jpeg,"split trunk, dbh2 34.0"
forest,CRBU: South Baldy (SB),1917,7/23/2025,10:14:00,Pinaceae-Abies lasiocarpa,No,8.2,20.3,C: Codominant,S: standing,NA,1 = a small wound less than dbh x dbh in area,100,100,190,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_6027151736884d48027338.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_13345952886884d480ee8e9.jpeg,high branches not sampled
forest,CRBU: South Baldy (SB),1916,7/23/2025,10:02:00,Pinaceae-Picea engelmannii,Yes,17.3,52.1,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,15,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_5279291576884d47c19cfa.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_12340430496884d47d0edc8.jpeg,NA
forest,CRBU: South Baldy (SB),1915,7/23/2025,9:40:00,Pinaceae-Abies lasiocarpa,No,18.4,47.8,D: Dominant,S: standing,NA,0 = no visible trunk wound,95,100,330,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_3143513706884d4712beb4.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_13380878606884d47902ec4.jpeg,dbh 1 in above tag
forest,CRBU: South Baldy (SB),1914,7/23/2025,9:32:00,Pinaceae-Picea engelmannii,Yes,9.4,36,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,340,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_20135543436884d46cbf0fb.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_18750816876884d46d7e0f5.jpeg,NA
forest,CRBU: South Baldy (SB),1913,7/23/2025,9:21:00,Pinaceae-Picea engelmannii,Yes,20,52,C: Codominant,S: standing,NA,0 = no visible trunk wound,100,100,280,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_10285239346884d46635c22.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_17875472946884d46701e96.jpeg,NA
forest,CRBU: South Baldy (SB),1912,7/23/2025,9:10:00,Pinaceae-Abies lasiocarpa,No,13.9,35.4,I: Intermediate,S: standing,(% red): percentage of reddish-brown needles occupying the remaining canopy,0 = no visible trunk wound,95,95,250,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_15505626656884d46293632.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_11006607046884d4633ec7e.jpeg,5% red needles
forest,CRBU: South Baldy (SB),1911,7/23/2025,8:48:00,Pinaceae-Picea engelmannii,No,24.6,78.6,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,190,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_458514506884d45e219b0.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_13492003916884d45ed46b8.jpeg,NA
forest,CRBU: Slide Rock Road (SL),1910,7/22/2025,13:29:00,Pinaceae-Pseudotsuga menziessii,Yes,31.2,89.7,D: Dominant,S: standing,Impacted by deadfall,0 = no visible trunk wound,100,100,180,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_384181250687ffe7dc9882.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_36679837687ffe7f0cc0f.jpeg,possibly engleman spruce?!
forest,CRBU: Slide Rock Road (SL),1909,7/22/2025,13:10:00,Pinaceae-Picea engelmannii,Yes,25.6,57,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,195,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_245128712687ffe7a3d6f0.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1615038914687ffe7ae68f7.jpeg,131 (2018 revisit) double stem
forest,CRBU: Slide Rock Road (SL),1908,7/22/2025,12:27:00,Salicaceae-Populus tremuloides,No,16.6,20.7,C: Codominant,S: standing,"Defoliators: webbing, caterpillars, or moth larvae visible, particularly in new needles or leaves (i",0 = no visible trunk wound,100,100,130,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1045736337687ffe7649947.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1301167555687ffe76e63a8.jpeg,NA
forest,CRBU: Slide Rock Road (SL),1907,7/22/2025,12:12:00,Pinaceae-Pseudotsuga menziessii,Yes,17.9,59.6,D: Dominant,S: standing,"Bark beetle: boreholes, “popcorn” sap blisters, galleries in cambium",1 = a small wound less than dbh x dbh in area,100,100,260,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_320697199687ffe72b7ab3.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1388624092687ffe73b3e85.jpeg,"long scar on trunk, lots of sap"
forest,CRBU: Slide Rock Road (SL),1906,7/22/2025,11:51:00,Salicaceae-Populus tremuloides,No,13,25.5,C: Codominant,S: standing,"Defoliators: webbing, caterpillars, or moth larvae visible, particularly in new needles or leaves (i",1 = a small wound less than dbh x dbh in area,100,100,160,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_44593336687ffe6b9e7be.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_158571932687ffe6f9ec72.jpeg,deep whole in trunk at bottom
forest,CRBU: Slide Rock Road (SL),1905,7/22/2025,11:43:00,Pinaceae-Picea engelmannii,Yes,15.6,38.6,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,160,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1893449041687ffe68280df.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_756960754687ffe68d41ca.jpeg,NA
forest,CRBU: Slide Rock Road (SL),1904,7/22/2025,11:20:00,Pinaceae-Abies lasiocarpa,No,11.2,33.5,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,225,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_934523353687ffe63a8532.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_905969629687ffe64622f4.jpeg,dbh 1 inch below tag
forest,CRBU: Slide Rock Road (SL),1903,7/22/2025,11:13:00,Salicaceae-Populus tremuloides,No,11.6,28.7,C: Codominant,S: standing,NA,0 = no visible trunk wound,90,100,140,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1743333955687ff53f23378.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1345560820687ff53fe26a5.jpeg,black bottom trunk
forest,CRBU: Slide Rock Road (SL),1902,7/22/2025,11:13:00,Pinaceae-Picea engelmannii,Yes,17.4,36.1,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,205,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_736676497687fc72b7b190.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1631674432687fc72e94d43.jpeg,NA
forest,CRBU: Trail 403 (TL),1901,7/22/2025,9:42:00,Pinaceae-Abies lasiocarpa,No,30.5,64.7,D: Dominant,S: standing,NA,0 = no visible trunk wound,90,85,90,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_2073088271687fc721dbfb2.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_401080355687fc724bfb44.jpeg,split top
forest,CRBU: Trail 403 (TL),1900,7/22/2025,9:33:00,Salicaceae-Populus tremuloides,No,12.7,28.6,C: Codominant,S: standing,"Defoliators: webbing, caterpillars, or moth larvae visible, particularly in new needles or leaves (i",2 = medium wound greater than dbh x dbh in area but less than 50% of the living length or penetratin,100,100,245,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_192982533687fc7156f436.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1785900273687fc717f2107.jpeg,NA
forest,CRBU: Trail 403 (TL),1899,7/22/2025,9:22:00,Salicaceae-Populus tremuloides,No,9.9,36.1,C: Codominant,S: standing,"Defoliators: webbing, caterpillars, or moth larvae visible, particularly in new needles or leaves (i",0 = no visible trunk wound,100,100,50,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_253006713687fc709c9d14.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_382424491687fc70c4eb11.jpeg,resample 2018
forest,CRBU: Trail 403 (TL),1898,7/22/2025,9:10:00,Pinaceae-Picea engelmannii,No,22.2,27.4,C: Codominant,S: standing,NA,0 = no visible trunk wound,100,100,350,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_293421324687ffe8068c6b.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_2038511393687ffe8118189.jpeg,2018 resample
forest,CRBU: Trail 403 (TL),1897,7/21/2025,16:39:00,Pinaceae-Picea engelmannii,No,23.8,81,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,140,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1070790743687ed7e6dba81.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_619854902687ed7e792a2e.jpeg,revisit from 2018
forest,CRBU: Trail 403 (TL),1896,7/21/2025,16:27:00,Pinaceae-Abies lasiocarpa,No,16.2,51.4,C: Codominant,S: standing,(% red): percentage of reddish-brown needles occupying the remaining canopy,1 = a small wound less than dbh x dbh in area,100,95,150,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_2020031212687ed7e28ae8c.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1299513777687ed7e36566c.jpeg,"less than 5% red needles (bottom), revisit 2018"
forest,CRBU: Trail 403 (TL),1895,7/21/2025,12:12:00,Salicaceae-Populus tremuloides,No,14.3,25,S: Suppressed,"S: standing, L: leaning","Defoliators: webbing, caterpillars, or moth larvae visible, particularly in new needles or leaves (i",0 = no visible trunk wound,100,100,120,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1289864312687eb76fa725d.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_185915740687eb7706a33a.jpeg,NA
forest,CRBU: Trail 403 (TL),1894,7/21/2025,12:00:00,Pinaceae-Abies lasiocarpa,No,21.4,51.3,D: Dominant,S: standing,Impacted by deadfall,0 = no visible trunk wound,100,100,255,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_827337727687eb76c3af5a.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_2019074967687eb76cd022c.jpeg,NA
forest,CRBU: Trail 403 (TL),1893,7/21/2025,11:46:00,Pinaceae-Picea engelmannii,Yes,24.2,76.3,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,260,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_810018280687eb76892fb3.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_831714758687eb7695aae8.jpeg,NA
forest,CRBU: Trail 403 (TL),1892,7/21/2025,11:13:00,Salicaceae-Populus tremuloides,No,5.8,16.7,C: Codominant,S: standing,"Defoliators: webbing, caterpillars, or moth larvae visible, particularly in new needles or leaves (i",3 = large wound where either greater than 50% of the living length or greater than 50% of the basal,100,100,200,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1380698624687eb765771a1.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_459943568687eb7660cb0b.jpeg,NA
forest,CRBU: Trail 403 (TL),1891,7/21/2025,11:04:00,Salicaceae-Populus tremuloides,No,5.6,20.6,C: Codominant,S: standing,"Defoliators: webbing, caterpillars, or moth larvae visible, particularly in new needles or leaves (i",3 = large wound where either greater than 50% of the living length or greater than 50% of the basal,100,100,250,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_164750267687eb761f3860.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_2133572844687eb762e42ba.jpeg,NA
forest,CRBU: Trail 403 (TL),1890,7/21/2025,10:53:00,Salicaceae-Populus tremuloides,No,4.4,14.3,I: Intermediate,S: standing,NA,1 = a small wound less than dbh x dbh in area,100,100,33,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1850404778687eb75e3c933.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_591822984687eb75f0e04f.jpeg,dbh at 5 cm below treetag
forest,CRBU: Trail 403 (TL),1889,7/21/2025,10:44:00,Salicaceae-Populus tremuloides,No,5.7,26.4,C: Codominant,S: standing,NA,2 = medium wound greater than dbh x dbh in area but less than 50% of the living length or penetratin,100,100,210,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_66762754687eb75aa4b0e.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1424881323687eb75b5e6b1.jpeg,NA
forest,CRBU: Trail 403 (TL),1888,7/21/2025,10:35:00,Salicaceae-Populus tremuloides,No,9,21.9,C: Codominant,S: standing,"Defoliators: webbing, caterpillars, or moth larvae visible, particularly in new needles or leaves (i",0 = no visible trunk wound,100,100,210,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_2031062250687eb756c6cce.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1393482297687eb757a3f58.jpeg,split crown
forest,Ad Hoc Site,1887,7/18/2025,12:11:00,Salicaceae-Populus angustifolia,No,7.3,16.3,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,40,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_278140286687e4ad1e30a1.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1157071728687e4ad2b5242.jpeg,2 stems 8.6
forest,Ad Hoc Site,1886,7/18/2025,11:53:00,Pinaceae-Pinus flexilis,Yes,10.5,20.7,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,200,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_393278665687e4acd294e0.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_663608285687e4ace22361.jpeg,"muti stem , 19.0 ; 20.3"
forest,Ad Hoc Site,1885,7/18/2025,11:48:00,Pinaceae-Pinus flexilis,NA,12.8,37.7,C: Codominant,S: standing,NA,0 = no visible trunk wound,100,100,30,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1648938633687e4ac7eb50a.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_989171550687e4ac8f20cc.jpeg,NA
forest,Ad Hoc Site,1884,7/18/2025,11:40:00,Pinaceae-Pinus flexilis,Yes,4.6,8.2,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,180,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_221471680687e4ac3c47af.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_260689956687e4ac4a171a.jpeg,NA
forest,Ad Hoc Site,1883,7/18/2025,11:32:00,Pinaceae-Pinus flexilis,No,7.4,17.8,D: Dominant,S: standing,NA,0 = no visible trunk wound,100,100,40,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_1994498595687e4abe8d3b4.jpeg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_983670323687e4abfe52d6.jpeg,NA
forest,Ad Hoc Site,1882,7/17/2025,16:02:00,Pinaceae-Abies lasiocarpa,No,15.9,26.4,I: Intermediate,S: standing,"Defoliators: webbing, caterpillars, or moth larvae visible, particularly in new needles or leaves (i",0 = no visible trunk wound,75,100,90,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_127701051568797ce7122e5.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_11117800068797ce749f26.jpg,NA
forest,Ad Hoc Site,1881,7/17/2025,15:55:00,Pinaceae-Abies lasiocarpa,No,20.8,42.9,I: Intermediate,S: standing,"Defoliators: webbing, caterpillars, or moth larvae visible, particularly in new needles or leaves (i",0 = no visible trunk wound,70,100,43,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_194433753668797ce32c391.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_4227754968797ce356741.jpg,NA
forest,Ad Hoc Site,1880,7/17/2025,15:51:00,Pinaceae-Abies lasiocarpa,No,16.1,29.7,D: Dominant,S: standing,NA,0 = no visible trunk wound,90,100,1,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_105378392768797cdfc6332.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_152754694168797ce037a03.jpg,Dbh other 24.3
forest,Ad Hoc Site,1879,7/17/2025,15:43:00,Pinaceae-Abies lasiocarpa,No,16.3,28.2,D: Dominant,S: standing,NA,0 = no visible trunk wound,85,100,303,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_97992947668797cdc3c870.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_24714364268797cdc69538.jpg,Other dbh 31.7
forest,CRBU: Irwin Cutoff (IC),1878,7/17/2025,15:19:00,Pinaceae-Abies lasiocarpa,No,28.3,44.4,D: Dominant,S: standing,NA,0 = no visible trunk wound,70,100,320,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_165354364868797cd8ef218.jpg,https://zerion-iform-media-us.s3.us-east-1.amazonaws.com/rmbl/507625/_data507625_chess_forest_subform/field_160592096268797cd950f01.jpg,NA
