Location_Type,Sampling_Area,Site_Number,Collection_Date,Collection_Time,Vegetation_Height,Vegetation_Species,Photo_Shrub,Photo_Landscape_North,Photo_Landscape_East,Photo_Landscape_South,Photo_Landscape_West,Shrub_Notes
shrub,UPTA: Taylor River Road Upper (RU),1581,2025-07-14,9:40:00,118,Salicaceae-Salix glauca,./Shrub_FieldPhotographs.zip/1581_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1581_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1581_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1581_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1581_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Upper (RU),1580,2025-07-14,9:29:00,175,Salicaceae-Salix drummondiana,./Shrub_FieldPhotographs.zip/1580_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1580_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1580_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1580_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1580_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Upper (RU),1579,2025-07-14,9:15:00,81,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1579_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1579_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1579_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1579_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1579_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Upper (RU),1578,2025-07-14,8:59:00,62,Cupressaceae-Juniperus communis,./Shrub_FieldPhotographs.zip/1578_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1578_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1578_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1578_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1578_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Rocky Brook (RB),1577,2025-07-13,10:36:00,96,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1577_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1577_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1577_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1577_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1577_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Rocky Brook (RB),1576,2025-07-13,10:27:00,139,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1576_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1576_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1576_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1576_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1576_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Rocky Brook (RB),1575,2025-07-13,10:16:00,76,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1575_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1575_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1575_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1575_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1575_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Rocky Brook (RB),1574,2025-07-13,10:08:00,113,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1574_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1574_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1574_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1574_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1574_Shrub_Landscape_FacingWest.jpg,Right next to 1575 diff willows
shrub,UPTA: Rocky Brook (RB),1573,2025-07-13,9:55:00,62,Rosaceae-Dasiphora fruticosa,./Shrub_FieldPhotographs.zip/1573_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1573_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1573_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1573_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1573_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Rocky Brook (RB),1572,2025-07-13,9:47:00,88,Rosaceae-Dasiphora fruticosa,./Shrub_FieldPhotographs.zip/1572_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1572_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1572_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1572_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1572_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Rocky Brook (RB),1571,2025-07-13,9:39:00,90,Rosaceae-Dasiphora fruticosa,./Shrub_FieldPhotographs.zip/1571_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1571_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1571_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1571_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1571_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Rocky Brook (RB),1570,2025-07-13,9:26:00,82,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1570_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1570_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1570_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1570_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1570_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Rocky Brook (RB),1569,2025-07-13,9:15:00,86,Salicaceae-Salix glauca,./Shrub_FieldPhotographs.zip/1569_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1569_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1569_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1569_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1569_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Rocky Brook (RB),1568,2025-07-13,8:55:00,99,Salicaceae-Salix planifolia,./Shrub_FieldPhotographs.zip/1568_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1568_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1568_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1568_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1568_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1566,2025-07-12,12:14:00,94,Asteraceae-Artemisia tridentata,./Shrub_FieldPhotographs.zip/1566_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1566_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1566_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1566_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1566_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1567,2025-07-12,12:04:00,95,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1567_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1567_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1567_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1567_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1567_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1565,2025-07-12,11:45:00,242,Salicaceae-Salix drummondiana,./Shrub_FieldPhotographs.zip/1565_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1565_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1565_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1565_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1565_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1564,2025-07-12,11:28:00,314,Salicaceae-Salix drummondiana,./Shrub_FieldPhotographs.zip/1564_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1564_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1564_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1564_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1564_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1563,2025-07-12,11:15:00,82,Asteraceae-Artemisia cana,./Shrub_FieldPhotographs.zip/1563_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1563_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1563_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1563_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1563_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1562,2025-07-12,11:07:00,89,Asteraceae-Artemisia tridentata,./Shrub_FieldPhotographs.zip/1562_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1562_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1562_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1562_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1562_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1561,2025-07-12,11:01:00,132,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1561_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1561_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1561_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1561_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1561_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1560,2025-07-12,10:55:00,104,Rosaceae-Dasiphora fruticosa,./Shrub_FieldPhotographs.zip/1560_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1560_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1560_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1560_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1560_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1559,2025-07-12,10:45:00,114,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1559_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1559_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1559_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1559_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1559_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1558,2025-07-12,10:35:00,143,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1558_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1558_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1558_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1558_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1558_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1557,2025-07-12,10:29:00,74,Rosaceae-Dasiphora fruticosa,./Shrub_FieldPhotographs.zip/1557_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1557_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1557_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1557_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1557_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1556,2025-07-12,9:57:00,154,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1556_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1556_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1556_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1556_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1556_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1555,2025-07-12,9:41:00,115,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1555_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1555_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1555_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1555_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1555_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1554,2025-07-12,9:26:00,119,Salicaceae-Salix glauca,./Shrub_FieldPhotographs.zip/1554_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1554_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1554_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1554_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1554_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Taylor River Road Lower (RL),1553,2025-07-12,9:07:00,120,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1553_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1553_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1553_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1553_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1553_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Trail Creek (TK),1552,2025-07-11,11:36:00,82,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1552_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1552_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1552_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1552_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1552_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Trail Creek (TK),1551,2025-07-11,11:23:00,112,Salicaceae-Salix planifolia,./Shrub_FieldPhotographs.zip/1551_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1551_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1551_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1551_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1551_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Trail Creek (TK),1550,2025-07-11,10:56:00,56,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1550_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1550_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1550_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1550_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1550_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Trail Creek (TK),1549,2025-07-11,10:41:00,97,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1549_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1549_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1549_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1549_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1549_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Trail Creek (TK),1548,2025-07-11,10:23:00,116,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1548_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1548_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1548_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1548_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1548_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Trail Creek (TK),1547,2025-07-11,10:06:00,99,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1547_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1547_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1547_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1547_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1547_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Trail Creek (TK),1546,2025-07-11,9:52:00,67,Rosaceae-Dasiphora fruticosa,./Shrub_FieldPhotographs.zip/1546_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1546_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1546_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1546_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1546_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Trail Creek (TK),1545,2025-07-11,9:41:00,57,Asteraceae-Artemisia cana,./Shrub_FieldPhotographs.zip/1545_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1545_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1545_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1545_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1545_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Trail Creek (TK),1544,2025-07-11,9:28:00,54,Rosaceae-Dasiphora fruticosa,./Shrub_FieldPhotographs.zip/1544_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1544_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1544_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1544_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1544_Shrub_Landscape_FacingWest.jpg,NA
shrub,UPTA: Trail Creek (TK),1543,2025-07-11,9:15:00,59,Salicaceae-Salix wolfii,./Shrub_FieldPhotographs.zip/1543_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1543_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1543_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1543_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1543_Shrub_Landscape_FacingWest.jpg,NA
shrub,CRBU: Schofield Park (SP),1542,2025-07-09,11:02:00,103,Salicaceae-Salix glauca,./Shrub_FieldPhotographs.zip/1542_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1542_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1542_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1542_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1542_Shrub_Landscape_FacingWest.jpg,NA
shrub,CRBU: Schofield Park (SP),1541,2025-07-09,10:39:00,84,Grossulariaceae-Ribes montigenum,./Shrub_FieldPhotographs.zip/1541_Shrub_Whiteboard.jpg,./Shrub_FieldPhotographs.zip/1541_Shrub_Landscape_FacingNorth.jpg,./Shrub_FieldPhotographs.zip/1541_Shrub_Landscape_FacingEast.jpg,./Shrub_FieldPhotographs.zip/1541_Shrub_Landscape_FacingSouth.jpg,./Shrub_FieldPhotographs.zip/1541_Shrub_Landscape_FacingWest.jpg,NA
